id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
419094,49,419094.jpeg,Too Yumm Karare Chilli Achari 80G,"[""419094.jpeg""]",20,19,5,1,5,43,1,1,1,80,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5789,0,768
419093,49,419093.jpeg,Too Yumm Karare Munchy Masala 80G,"[""419093.jpeg""]",20,19,5,1,5,43,1,1,1,80,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5790,0,768
419128,49,419128.jpeg,Too Yumm Karare Noodle Masala 80G,"[""419128.jpeg""]",20,19,5,1,5,43,1,1,1,80,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5791,0,768
392416,49,392416.jpeg,Too Yumm Multigrain Chips Dahipapdi Chaat Chips 25G Pack Of 12,"[""392416.jpeg""]",120,110,9,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5401|1241,0,768
422623,49,422623.jpeg,Too Yumm Potato Stix Aloo Chat 75G,"[""422623.jpeg""]",50,46,8,1,5,43,1,1,1,75,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5792,0,768
419066,49,419066.jpeg,Too Yumm Rings Masala Magic 12G Pack Of 12,"[""419066.jpeg""]",60,52,14,1,5,43,1,1,1,12,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5793,0,768
419062,49,419062.jpeg,Too Yumm Rings Tomato Twist 12G Pack Of 12,"[""419062.jpeg""]",60,52,14,1,5,43,1,1,1,12,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5794,0,768
422592,49,422592.jpeg,Too Yumm Rings Tomato Twist 75G,"[""422592.jpeg""]",50,46,8,1,5,43,1,1,1,75,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5795,0,768
397193,49,397193.jpeg,Too Yumm Veggie Stix Sour Cream & Onion 25G Pack Of 12,"[""397193.jpeg""]",120,110,9,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5796,0,768
404750,49,404750.jpeg,Top Garden Paprika Pumpkin Hot 30G Pack Of 12,"[""404750.jpeg""]",600,546,9,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5750|5799,0,767
